corpus,language,model,wer_mean_utt,wer_corpus,I_ASR,I_NLU,ASR_pct,coverage,word_std_partial,word_std_ci_lo,word_std_ci_hi,residual,notes
SLURP,en,Whisper small.en + all-MiniLM-L6-v2,0.1939606868386283,,0.139,0.307,31.17,0.894,0.135,0.099,0.169,1.1e-16,SLURP WER column from slurpF_generality.csv is mean per-utterance WER.
Speech-MASSIVE,de-DE,Whisper multilingual small + paraphrase-multilingual-MiniLM-L12-v2,0.1699,0.1521,0.001,0.549,0.183,0.913,0.065,0.029,0.101,1.1e-16,True gated test audio; no carved test; id dtype=str.
