id,scenario,y,sz_asr,sz_gold,true_delta,conf_proxy,wer
6737,general,6,2.0,2.0,0.0,0.3667301371867604,0.42857142857142855
6744,calendar,2,1.0,1.0,0.0,0.11059757737288689,0.375
6746,calendar,2,1.0,1.0,0.0,0.025210191579229102,0.1
6747,calendar,2,2.0,1.0,1.0,0.24656253541634332,0.3333333333333333
6755,calendar,2,1.0,1.0,0.0,0.0018373614327419352,0.0
6761,calendar,2,1.0,1.0,0.0,0.0047530324058294715,0.25
6764,calendar,2,1.0,1.0,0.0,0.06034536676318425,0.0
6774,calendar,2,1.0,1.0,0.0,0.004321278777944637,0.0
6785,calendar,2,1.0,1.0,0.0,0.00981368158138829,0.4
6789,calendar,2,1.0,1.0,0.0,0.02977081402326187,0.25
6798,calendar,2,1.0,1.0,0.0,0.00428843916928634,0.0
6801,calendar,2,1.0,1.0,0.0,0.0022625186631058947,0.16666666666666666
6806,calendar,2,1.0,1.0,0.0,0.0007433955992959262,0.0
6815,calendar,2,1.0,1.0,0.0,0.013227380678686562,0.625
6819,calendar,2,1.0,2.0,-1.0,0.11421499809496993,0.375
6836,calendar,2,1.0,1.0,0.0,0.013387414569002165,0.25
6850,calendar,2,1.0,2.0,-1.0,0.09912997761909836,0.4
6856,calendar,2,1.0,1.0,0.0,0.0043179898057011945,0.18181818181818182
6860,calendar,2,2.0,2.0,0.0,0.33649169813269453,0.0
6865,calendar,2,1.0,1.0,0.0,0.008021292227740062,0.1111111111111111
6878,calendar,2,1.0,1.0,0.0,0.006413960051269707,0.38461538461538464
6891,calendar,2,4.0,2.0,2.0,0.512345198974703,0.8
6892,calendar,2,1.0,2.0,-1.0,0.11827711984361111,0.0
6897,calendar,2,1.0,1.0,0.0,0.14204388117925404,0.15384615384615385
6901,calendar,2,1.0,1.0,0.0,0.0007531938690803486,0.2222222222222222
6902,calendar,2,2.0,2.0,0.0,0.42235672893065535,0.09090909090909091
6909,calendar,2,2.0,1.0,1.0,0.2846901872003669,0.2222222222222222
6918,calendar,2,1.0,1.0,0.0,0.018748463142012062,0.25
6923,calendar,2,2.0,1.0,1.0,0.4702558885347935,0.6666666666666666
6926,calendar,2,3.0,3.0,0.0,0.2702345350935872,0.0
6928,calendar,2,1.0,1.0,0.0,0.02368306153022537,0.0
6936,calendar,2,1.0,2.0,-1.0,0.14222691440882362,0.2222222222222222
6937,calendar,2,3.0,1.0,2.0,0.5896163726378735,0.2222222222222222
6946,calendar,2,1.0,1.0,0.0,0.014879450873132694,0.0
6958,calendar,2,2.0,1.0,1.0,0.21262168647189716,0.3333333333333333
6959,calendar,2,1.0,1.0,0.0,0.0012932321064148544,0.0
6962,calendar,2,2.0,1.0,1.0,0.1484268495174783,0.42857142857142855
6964,calendar,2,1.0,1.0,0.0,0.008212676168666722,0.06666666666666667
6967,calendar,2,1.0,1.0,0.0,0.007753430529447991,0.0
6968,calendar,2,1.0,1.0,0.0,0.003542104509589139,0.08333333333333333
6973,calendar,2,1.0,1.0,0.0,0.007051501124002657,0.09090909090909091
6974,calendar,2,1.0,1.0,0.0,0.23922235437065187,0.4444444444444444
6980,calendar,2,1.0,1.0,0.0,0.04027608128844351,0.4
6992,calendar,2,1.0,1.0,0.0,0.024986746995127485,0.0
6994,calendar,2,2.0,1.0,1.0,0.1966860470245514,0.3333333333333333
6997,calendar,2,1.0,1.0,0.0,0.06355885937768735,0.0
7000,calendar,2,1.0,1.0,0.0,0.16610552647737986,0.0
7004,calendar,2,3.0,1.0,2.0,0.36807437203567506,0.7272727272727273
7013,calendar,2,1.0,1.0,0.0,0.02125214604641723,0.42857142857142855
7014,calendar,2,1.0,1.0,0.0,0.005512832731389805,0.14285714285714285
7025,calendar,2,2.0,1.0,1.0,0.5097454176804821,0.6
7026,recommendation,13,1.0,2.0,-1.0,0.07668381540792046,0.0
7039,calendar,2,1.0,1.0,0.0,0.030890157557650122,0.18181818181818182
7044,calendar,2,2.0,1.0,1.0,0.21479027154350117,0.2
7046,calendar,2,1.0,1.0,0.0,0.004120605746331996,0.625
7055,calendar,2,1.0,1.0,0.0,0.04848232749177084,0.4
7057,calendar,2,1.0,1.0,0.0,0.032924594145697705,0.0
7061,calendar,2,1.0,1.0,0.0,0.0062078662494897685,0.15384615384615385
7073,calendar,2,1.0,1.0,0.0,0.009168949350864875,0.07692307692307693
7080,calendar,2,1.0,1.0,0.0,0.004592921504631864,0.4
7087,calendar,2,1.0,1.0,0.0,0.001830457307382738,0.0
7098,calendar,2,1.0,1.0,0.0,0.038228146235727234,0.2
7100,calendar,2,1.0,1.0,0.0,0.00821291338846486,0.0
7111,calendar,2,1.0,1.0,0.0,0.021908572002751203,0.2
7113,calendar,2,1.0,1.0,0.0,0.07083472595380969,0.14285714285714285
7117,calendar,2,1.0,1.0,0.0,0.03530632262833577,0.09090909090909091
7120,calendar,2,1.0,1.0,0.0,0.03191081826228759,0.0
7122,calendar,2,1.0,1.0,0.0,0.007292419031434849,0.0
7140,calendar,2,1.0,1.0,0.0,0.07223277125577243,0.5454545454545454
7141,calendar,2,1.0,1.0,0.0,0.03091470838946675,0.2
7151,calendar,2,4.0,1.0,3.0,0.48553046581352066,0.3333333333333333
7152,calendar,2,1.0,2.0,-1.0,0.28804099894393775,0.42857142857142855
7161,calendar,2,1.0,1.0,0.0,0.0022898378956219823,0.2
7168,general,6,1.0,1.0,0.0,0.12643477381470025,0.14285714285714285
7170,calendar,2,2.0,1.0,1.0,0.20002078492138964,0.14285714285714285
7181,calendar,2,1.0,2.0,-1.0,0.09032427536532717,0.15384615384615385
7185,calendar,2,1.0,1.0,0.0,0.024560422638386314,0.0
7189,calendar,2,1.0,1.0,0.0,0.005794667151756694,0.4
7194,calendar,2,1.0,1.0,0.0,0.0031442559032689443,0.0
7196,calendar,2,1.0,1.0,0.0,0.0006481998835318192,0.4444444444444444
7199,calendar,2,1.0,1.0,0.0,0.10142859197703968,0.21428571428571427
7209,calendar,2,1.0,1.0,0.0,0.05351442766138825,0.09090909090909091
7216,general,6,1.0,1.0,0.0,0.1272676600732694,0.0
7219,calendar,2,1.0,1.0,0.0,0.00024188832559401963,0.1
7224,calendar,2,2.0,2.0,0.0,0.19233375725351132,0.13333333333333333
7232,calendar,2,1.0,1.0,0.0,0.03743106793933082,0.0
7257,calendar,2,3.0,3.0,0.0,0.4544465446071049,0.0
7258,calendar,2,2.0,2.0,0.0,0.24741201753900022,0.1
7262,calendar,2,1.0,1.0,0.0,0.0035138320631904474,0.14285714285714285
7266,calendar,2,2.0,2.0,0.0,0.5131922125115009,0.4
7278,calendar,2,4.0,1.0,3.0,0.7409135237961741,0.7
7287,calendar,2,1.0,1.0,0.0,0.007216221105015519,0.2222222222222222
7289,calendar,2,1.0,1.0,0.0,0.046512730317012974,0.42857142857142855
7291,calendar,2,2.0,3.0,-1.0,0.40707871256500205,0.2857142857142857
7292,calendar,2,1.0,1.0,0.0,0.06445028833943378,0.21428571428571427
7293,calendar,2,1.0,1.0,0.0,0.056075331470461176,0.2857142857142857
7294,calendar,2,1.0,1.0,0.0,0.015476453841264282,0.1111111111111111
7295,calendar,2,1.0,1.0,0.0,0.0005529842115241657,0.0
7314,calendar,2,3.0,3.0,0.0,0.5151372757376316,0.0
7316,calendar,2,1.0,1.0,0.0,0.024621379405183386,0.4
7319,calendar,2,3.0,1.0,2.0,0.35803164716359626,0.3333333333333333
7353,email,5,1.0,1.0,0.0,0.017718685662564626,0.1111111111111111
7355,calendar,2,2.0,1.0,1.0,0.4799980726536506,0.3333333333333333
7380,calendar,2,2.0,1.0,1.0,0.43360255392479474,0.3333333333333333
7397,calendar,2,1.0,1.0,0.0,0.013538603021120199,0.0
7449,calendar,2,2.0,2.0,0.0,0.45604411172851544,0.0
7450,calendar,2,1.0,1.0,0.0,0.054529085572795455,0.1
7455,calendar,2,1.0,1.0,0.0,0.022544319703143967,0.16666666666666666
7461,calendar,2,1.0,1.0,0.0,0.007361592607985412,0.0
7463,calendar,2,1.0,1.0,0.0,0.0030334796570274936,0.0
7467,calendar,2,2.0,2.0,0.0,0.4733020810229027,0.14285714285714285
7477,calendar,2,1.0,1.0,0.0,0.000677248562566124,0.23076923076923078
7496,calendar,2,1.0,1.0,0.0,0.00766132592949742,0.0
7499,calendar,2,1.0,1.0,0.0,0.002461255972213472,0.16666666666666666
7500,calendar,2,2.0,1.0,1.0,0.24551689999212034,0.3333333333333333
7502,calendar,2,1.0,1.0,0.0,0.02238715484930265,0.4166666666666667
7503,calendar,2,2.0,1.0,1.0,0.1728758473671297,0.18181818181818182
7520,calendar,2,1.0,1.0,0.0,0.025948217376631333,0.5
7524,calendar,2,2.0,3.0,-1.0,0.48809182165369724,0.25
7528,calendar,2,2.0,2.0,0.0,0.31388479066988617,0.2727272727272727
7531,calendar,2,1.0,2.0,-1.0,0.07873068197814914,0.4
7539,calendar,2,4.0,2.0,2.0,0.722889138141244,0.0
7542,calendar,2,1.0,1.0,0.0,0.07463485751979404,0.0
7549,calendar,2,1.0,1.0,0.0,0.022957634667951088,0.25
7556,calendar,2,1.0,1.0,0.0,0.012454667406853082,0.09090909090909091
7557,calendar,2,1.0,1.0,0.0,0.1870352283720439,0.25
7559,calendar,2,1.0,1.0,0.0,0.009352564371972294,0.4166666666666667
7563,calendar,2,1.0,1.0,0.0,0.00038855878816412837,0.0
7565,calendar,2,1.0,1.0,0.0,0.002175239316343447,0.0
7567,calendar,2,3.0,1.0,2.0,0.49837456289691984,1.0
7569,calendar,2,2.0,1.0,1.0,0.15670249902001065,0.3333333333333333
7570,calendar,2,2.0,2.0,0.0,0.22881550241530868,0.0
7583,calendar,2,1.0,1.0,0.0,0.00048200378711260594,0.16666666666666666
7596,calendar,2,1.0,1.0,0.0,0.12618356286239263,0.3
7598,calendar,2,3.0,2.0,1.0,0.5401243165427144,0.13333333333333333
7606,calendar,2,1.0,1.0,0.0,0.02074944890115049,0.16666666666666666
7609,calendar,2,1.0,1.0,0.0,0.0028686372583496267,0.0
7613,calendar,2,1.0,1.0,0.0,0.0652534124243822,0.2
7628,calendar,2,1.0,1.0,0.0,0.09933403496083815,0.2857142857142857
7654,calendar,2,1.0,1.0,0.0,0.03222940282497855,0.42857142857142855
7655,calendar,2,1.0,1.0,0.0,0.006340566784885815,0.4
7660,calendar,2,1.0,1.0,0.0,0.05160068137373408,0.3076923076923077
7662,calendar,2,1.0,1.0,0.0,0.04054187071300974,0.5714285714285714
7664,calendar,2,2.0,2.0,0.0,0.5372086230795481,0.2
7666,calendar,2,1.0,1.0,0.0,0.009459348078114105,0.07692307692307693
7680,calendar,2,1.0,1.0,0.0,0.0046018976542924195,0.0
7686,calendar,2,1.0,1.0,0.0,0.034341259592465034,0.14285714285714285
7690,calendar,2,3.0,5.0,-2.0,0.5692089846864605,0.0
7693,calendar,2,1.0,1.0,0.0,0.006405203938459225,0.2222222222222222
7697,calendar,2,1.0,1.0,0.0,0.03757019933325478,0.2
7711,calendar,2,1.0,1.0,0.0,0.0010911991858515435,0.25
7712,calendar,2,1.0,1.0,0.0,0.0018793423601439763,0.24
7718,calendar,2,1.0,1.0,0.0,0.006373292143491915,0.0
7726,calendar,2,2.0,1.0,1.0,0.14015040499880405,0.09090909090909091
7730,calendar,2,1.0,1.0,0.0,0.32576527836723923,0.0
7741,calendar,2,1.0,1.0,0.0,0.00035513426387523417,0.0
7751,calendar,2,1.0,1.0,0.0,0.017537250817660444,0.0
7762,calendar,2,3.0,1.0,2.0,0.5889733626530782,0.6
7767,calendar,2,1.0,1.0,0.0,0.044275640336623456,0.23076923076923078
7768,calendar,2,2.0,2.0,0.0,0.4170880267363568,0.25
7774,calendar,2,1.0,1.0,0.0,0.011317604610843635,0.0
7777,calendar,2,1.0,1.0,0.0,0.011292192852223937,0.0
7778,calendar,2,2.0,1.0,1.0,0.20430322095042242,0.3333333333333333
7808,calendar,2,1.0,1.0,0.0,0.024319873096144584,0.3333333333333333
7817,calendar,2,3.0,2.0,1.0,0.49704996183619865,0.3333333333333333
7820,calendar,2,1.0,1.0,0.0,0.0027869478098053735,0.0
7836,calendar,2,1.0,1.0,0.0,0.0689495183167359,0.6666666666666666
7843,calendar,2,3.0,3.0,0.0,0.3977941474307547,0.3333333333333333
7844,calendar,2,1.0,1.0,0.0,0.12414556714449287,0.2
7847,calendar,2,2.0,2.0,0.0,0.4477116460754922,0.0
7851,calendar,2,1.0,1.0,0.0,0.008625683241467397,0.0
7863,calendar,2,1.0,1.0,0.0,0.18307755720175023,0.5555555555555556
7870,calendar,2,1.0,1.0,0.0,0.049359184343049645,0.5
7876,news,10,1.0,1.0,0.0,0.19166584773788853,0.0
7878,calendar,2,1.0,1.0,0.0,0.006297135290927125,0.6666666666666666
7879,calendar,2,1.0,1.0,0.0,0.05745862640416044,0.0
7889,calendar,2,1.0,1.0,0.0,0.05181299647087567,0.125
7890,calendar,2,1.0,1.0,0.0,0.28479092327127187,0.0
7891,calendar,2,2.0,1.0,1.0,0.23698773825523212,0.6666666666666666
7892,calendar,2,1.0,1.0,0.0,0.004475320104631586,0.4
7894,calendar,2,2.0,2.0,0.0,0.11496584578309277,0.2
7902,calendar,2,1.0,1.0,0.0,0.0035549107489140086,0.18181818181818182
7908,calendar,2,3.0,2.0,1.0,0.3064986975888777,0.14285714285714285
7912,calendar,2,1.0,1.0,0.0,0.05668460792956931,0.0
7916,calendar,2,3.0,1.0,2.0,0.34671656201039514,0.3
7918,calendar,2,1.0,1.0,0.0,0.1297581160900675,0.5
7919,calendar,2,1.0,1.0,0.0,0.08537355936712909,0.125
7922,calendar,2,1.0,1.0,0.0,0.033688043916645816,0.2
7927,calendar,2,1.0,1.0,0.0,0.058508920818857946,0.0
7946,calendar,2,2.0,2.0,0.0,0.42015229300307055,0.0
7953,calendar,2,1.0,1.0,0.0,0.005785952666937266,0.0
7955,calendar,2,1.0,1.0,0.0,0.0033068745144869682,0.0
7956,calendar,2,1.0,1.0,0.0,0.014781563845962409,0.0
7966,calendar,2,1.0,1.0,0.0,0.01878046145369361,0.0
7970,calendar,2,1.0,1.0,0.0,0.003682223786626748,0.0
7971,calendar,2,1.0,1.0,0.0,0.008594296867253104,0.0
7975,calendar,2,2.0,2.0,0.0,0.40041119871294695,0.0
7978,calendar,2,1.0,1.0,0.0,0.008505566655594543,0.1111111111111111
7980,calendar,2,1.0,1.0,0.0,0.023260858765508652,0.5714285714285714
7981,calendar,2,2.0,1.0,1.0,0.13577146417663244,0.0
7993,calendar,2,1.0,1.0,0.0,0.0018561396852150303,0.3333333333333333
8001,calendar,2,1.0,1.0,0.0,0.0031319232983256784,0.0
8004,calendar,2,2.0,2.0,0.0,0.28522395725274596,0.0
