id,delta,sz_asr,asr_avg_logprob,asr_no_speech_prob,asr_compression_ratio,n_segments,asr_min_word_logprob,asr_word_logprob_std,est_wer_asr,conf_nlu,wer
0,0.0,1.0,0.3632812450329463,0.00817108154296875,0.7777777777777778,1.0,0.3697341760820604,0.13067628716840476,0.07995884245719255,0.13409591171651147,0.25
3,0.0,1.0,0.793359375,0.0638427734375,0.42857142857142855,1.0,0.2708966557597671,0.0,0.05356804178932403,0.05805438956389697,0.0
8,-2.0,2.0,0.4702148362994194,0.028213500976562503,0.7241379310344828,1.0,1.1860676562524326,0.3947965569605307,0.3198190360214521,0.37865052698045754,0.6
14,1.0,3.0,0.3971354166666667,0.01213836669921875,0.7777777777777778,1.0,0.672846821760487,0.2618906250174647,0.18004467304937607,0.5156524379452518,0.0
19,0.0,1.0,0.5223721807653253,0.02020263671875,0.9090909090909091,1.0,1.124080348324232,0.45506708370309257,0.3169937260378545,0.0013561260972517752,0.25
27,1.0,4.0,0.4739583333333333,0.0819091796875,0.7837837837837838,1.0,1.377543697599705,0.5816778663746495,0.2736597615566463,0.620139988886818,0.16666666666666666
31,1.0,4.0,0.4735243055555556,0.0177764892578125,0.6923076923076923,1.0,0.6322162331169767,0.19949009969674947,0.2834058346759107,0.5814667563852349,0.3333333333333333
41,0.0,2.0,0.19287109250823656,0.0017452239990234377,0.84,1.0,0.26578808781704466,0.0798687018567205,0.062048106532380805,0.439009219509633,0.0
46,0.0,3.0,0.17267400568181818,0.006000518798828125,0.68,1.0,0.10727931138800677,0.04206495919916242,0.04984381583962069,0.6405990706847489,0.3333333333333333
47,0.0,1.0,0.20000000149011612,0.026611328125,0.7837837837837838,1.0,0.36199038518515714,0.13062877364477424,0.055989701740445555,0.002809037389319924,0.0
50,0.0,1.0,0.4924479087193807,0.071044921875,0.9090909090909091,1.0,1.2886786025696817,0.4816555647014634,0.2865082577987925,0.006404900881899045,0.6363636363636364
59,0.0,1.0,0.49549280680142915,0.0997314453125,0.8,1.0,1.7226689462591647,0.7061563972525889,0.18316000472306304,0.006827423813078326,0.6
