method,coverage_or_joint,setsize
B1_vanilla,0.8937457969065232,1.445527908540686
B2_mondrian,0.898453261600538,1.5954942837928716
B3_independent,0.8177538668459986,1.4502353732347006
B3_bonferroni,0.898453261600538,2.2565568258238065
B3_pasc_jointmax,0.8944182918628111,1.4502353732347006
