id,delta,sz_asr,asr_avg_logprob,asr_no_speech_prob,asr_compression_ratio,n_segments,asr_min_word_logprob,asr_word_logprob_std,conf_nlu,wer
massive_de_de_0,0.0,1.0,0.4246651657990047,0.0025806427001953125,0.8333333333333334,1.0,0.8035115139029335,0.24533464441882027,0.07898294588666421,0.1111111111111111
massive_de_de_100,0.0,1.0,0.2220052124725448,0.006557464599609375,0.8431372549019608,1.0,0.1070981355563671,0.02987815452951103,0.006256009200288681,0.4
massive_de_de_10016,2.0,4.0,0.4326637018294561,0.0157318115234375,0.911764705882353,1.0,1.0009688511386998,0.27830049715909433,0.5923959266141999,0.4444444444444444
massive_de_de_10019,1.0,4.0,0.3995535771052043,0.0279388427734375,0.864406779661017,1.0,0.49222127973931573,0.16969741842064595,0.7192214690271745,0.375
massive_de_de_10023,1.0,2.0,0.325000011920929,0.01482391357421875,0.8333333333333334,1.0,0.36029710244034163,0.1253033046773924,0.4712256348478532,0.3333333333333333
massive_de_de_10027,0.0,1.0,0.2643694111279079,0.00528717041015625,0.813953488372093,1.0,0.5278976076646381,0.18889064651890713,0.00541795875736073,0.0
massive_de_de_10031,1.0,2.0,0.18341619047251614,0.00489044189453125,0.9154929577464789,1.0,0.1909524459932298,0.053709892943570085,0.38902928184614094,0.18181818181818182
massive_de_de_10038,0.0,1.0,0.23602765340071458,0.002283096313476563,0.8292682926829268,1.0,0.24156163948031736,0.07807521866566841,0.019486993969833222,0.0
massive_de_de_10045,-1.0,1.0,0.22672525544961294,0.0012235641479492188,0.9210526315789473,1.0,0.5090368599749449,0.15418839890173044,0.053083282082011185,0.2222222222222222
massive_de_de_10048,1.0,2.0,0.3469460118900646,0.0018625259399414065,0.7837837837837838,1.0,0.5315258705989504,0.19014777058675716,0.27454237654396174,0.4
massive_de_de_10049,1.0,3.0,0.5000000264909532,0.00753021240234375,0.925925925925926,1.0,1.0432866079454728,0.3953782816053268,0.6793131060520676,0.2222222222222222
massive_de_de_10053,-1.0,1.0,0.2543945387005806,0.04678344726562501,0.7692307692307693,1.0,0.1436268232898736,0.056276131768001635,0.19213939264305668,0.0
massive_de_de_10055,-1.0,1.0,0.37622069008648396,0.016357421875,0.8367346938775511,1.0,0.7956363883426572,0.2652497605997795,0.0037523869077568106,0.3333333333333333
massive_de_de_10061,-1.0,3.0,0.2789417722008445,0.0289154052734375,0.813953488372093,1.0,0.10872990094427275,0.03777203187770355,0.5705860827814859,0.0
massive_de_de_1007,1.0,2.0,0.5898437462747097,0.0751953125,0.8490566037735849,1.0,1.1128736565146706,0.3887724983085833,0.21469905961724,0.6666666666666666
massive_de_de_10072,-2.0,1.0,0.16155133289950235,0.044464111328125,0.825,1.0,0.06662402762859256,0.020304122298085495,0.08623587775342734,0.0
massive_de_de_10076,0.0,2.0,0.34375000916994536,0.055267333984375,0.8,1.0,0.366206835564092,0.13581223393212233,0.3604728899796882,0.0
massive_de_de_10077,-1.0,2.0,0.3231770952542623,0.00827789306640625,0.9423076923076923,1.0,0.26738171365232266,0.08092327788075553,0.382562792186794,0.0
massive_de_de_10078,0.0,1.0,0.1303710974752903,0.002750396728515625,0.813953488372093,1.0,0.07448364367096924,0.025276610919975854,0.07739928756721814,0.0
massive_de_de_10080,0.0,1.0,0.32031250916994536,0.00963592529296875,0.8461538461538461,1.0,0.2603886781613521,0.10306523480441644,0.06502006217741263,0.0
massive_de_de_10081,0.0,1.0,0.32473957538604736,0.0088958740234375,0.8367346938775511,1.0,0.5919947251313921,0.21094964232314384,0.04553466100128867,0.16666666666666666
massive_de_de_10090,0.0,1.0,0.3839285692998341,0.013336181640625,0.8571428571428571,1.0,0.915924587975514,0.3053273082911663,0.04316165369350544,0.14285714285714285
massive_de_de_10093,1.0,2.0,0.3914930555555556,0.09222412109375,0.7575757575757576,1.0,0.4186126833762462,0.17093307976382996,0.2823783643147153,0.0
massive_de_de_10097,2.0,4.0,0.41093748807907104,0.007762908935546875,0.8372093023255814,1.0,0.2040400807485976,0.0722913147797005,0.618154042842531,0.2
massive_de_de_10099,0.0,1.0,0.31460336538461536,0.0010156631469726562,0.8,1.0,0.7098880934408361,0.24884261316624534,0.0936183992780254,0.0
massive_de_de_10100,-2.0,1.0,0.36358173993917614,0.007244110107421875,0.8095238095238095,1.0,0.2301258789403606,0.07649054985900841,0.1608123938889504,0.16666666666666666
massive_de_de_10105,0.0,1.0,0.31796875447034834,0.01264190673828125,0.9384615384615385,1.0,0.5632846192489607,0.2012194177065079,0.05391438498631729,0.18181818181818182
massive_de_de_10107,0.0,1.0,0.35986329428851604,0.0012607574462890625,0.875,1.0,0.9025910571060488,0.3443132911184737,0.049818017328630004,0.14285714285714285
massive_de_de_10119,0.0,1.0,0.3506944411330753,0.0111083984375,0.8833333333333333,1.0,0.5478596019636999,0.1954241056993577,0.0381732123458578,0.2222222222222222
massive_de_de_10125,0.0,2.0,0.32114954718521665,0.004604339599609375,0.9122807017543859,1.0,0.35918926290544545,0.11398308965322469,0.38389155384670537,0.0
massive_de_de_10132,1.0,2.0,0.23730468824505807,0.007663726806640625,0.909090909090909,1.0,0.5131068696632417,0.142321687184571,0.3825079752202145,0.2727272727272727
massive_de_de_1014,1.0,3.0,1.7775046039806546,0.68994240625,2.250001,0.0,6.150500776923916,2.179602168992482,0.6230131325612401,1.0
massive_de_de_10150,0.0,1.0,0.4210069444444444,0.0242462158203125,0.7692307692307693,1.0,0.5647866042969119,0.21018218908964145,0.16960421158859107,0.25
massive_de_de_10156,2.0,3.0,0.37475586868822575,0.027618408203125,0.9074074074074074,1.0,0.28540601879484334,0.0984302293553532,0.39456007017558925,0.0
massive_de_de_10164,-1.0,2.0,0.3616536458333333,0.2236328125,0.7837837837837838,1.0,0.25051257351310013,0.09786645295456507,0.372391008916547,0.2
massive_de_de_10166,0.0,2.0,0.4257812400658925,0.0037364959716796875,0.8529411764705882,1.0,0.5805860888847135,0.18604242973268856,0.24349174980342736,0.0
massive_de_de_10171,0.0,1.0,0.3046875,0.00514984130859375,0.8333333333333334,1.0,0.12132935548431649,0.0426316004881513,0.0462125191358741,0.0
massive_de_de_10177,0.0,1.0,0.6977163461538461,0.05474853515625,0.8095238095238095,1.0,1.6733256037406932,0.5585125846028285,0.1107655128993863,1.0
massive_de_de_10182,0.0,3.0,0.3130208214124044,0.00589752197265625,0.8653846153846154,1.0,0.6576518475454153,0.21420016363918085,0.6031610319210136,0.125
massive_de_de_10197,0.0,1.0,0.3317522385290691,0.01385498046875,0.8367346938775511,1.0,0.15667665387354654,0.04994718909007299,0.08339580102643362,0.0
massive_de_de_102,0.0,1.0,0.22460937393563135,0.029510498046875,0.8,1.0,0.3940558327501063,0.1431257748255145,0.010008869346442184,0.0
massive_de_de_10206,-1.0,2.0,0.19051847132769498,0.03216552734375,0.7575757575757577,1.0,0.06584145291798715,0.026410423679453985,0.2932768028022167,0.0
massive_de_de_10213,1.0,2.0,0.5864257737994194,0.09869384765625,0.8292682926829268,1.0,0.727798272230041,0.2412027125117235,0.44424029776780405,0.75
massive_de_de_10214,0.0,1.0,0.24586397058823528,0.0098419189453125,0.8666666666666667,1.0,0.14193715800474707,0.043635188737203894,0.043235551965943864,0.0
massive_de_de_10216,1.0,3.0,0.48549107142857145,0.0051116943359375,0.8545454545454545,1.0,0.5202694910965882,0.13962301673937935,0.46920674990158784,0.14285714285714285
massive_de_de_10217,0.0,1.0,0.3901909854676988,0.003360748291015625,0.8571428571428571,1.0,0.672846821760487,0.20948454929732815,0.14324021169888368,0.1111111111111111
massive_de_de_10220,0.0,1.0,0.14797247591472806,0.0023956298828125,0.984126984126984,1.0,0.03275727126946511,0.008889537595683715,0.008864266478360694,0.0
massive_de_de_10224,0.0,1.0,0.3620605543255806,0.15185546875,0.6923076923076923,1.0,0.20284319251475147,0.03228383040614684,0.06381982130198394,0.0
