policy,budget,coverage,setsize,ineff_reduction,slack
random,0.1,0.9122394082044385,1.5608607935440484,-0.010423671822461289,0.05723905723905724
random,0.25,0.9152656355077337,1.5558170813718897,-0.005379959650302579,0.033647375504710635
random,0.5,0.9182918628110289,1.5423671822461331,0.00806993947545398,0.029589778076664425
conf_nlu_downstream,0.1,0.9172831203765972,1.4710827168796234,0.07935440484196365,0.08754208754208755
conf_nlu_downstream,0.25,0.9162743779421655,1.433086751849361,0.11735036987222602,0.07940780619111709
conf_nlu_downstream,0.5,0.9223268325487559,1.4778076664425017,0.07262945527908538,0.05379959650302623
sz_asr_trivial,0.1,0.9119031607262945,1.4401479488903832,0.11028917283120387,0.08754208754208755
sz_asr_trivial,0.25,0.9125756556825824,1.4082044384667114,0.1422326832548757,0.0740242261103634
sz_asr_trivial,0.5,0.9145931405514459,1.4344317417619368,0.11600537995965032,0.05178211163416274
word_lp_std,0.1,0.9196368527236046,1.534969737726967,0.015467383994619999,0.026936026936026935
word_lp_std,0.25,0.9216543375924681,1.5285810356422327,0.02185608607935441,0.026917900403768506
word_lp_std,0.5,0.9233355749831876,1.5346334902488232,0.015803631472763868,0.025554808338937456
combined_deployable,0.1,0.9092131809011432,1.4391392064559516,0.11129791526563548,0.10101010101010101
combined_deployable,0.25,0.9095494283792872,1.38231338264963,0.168123739071957,0.0740242261103634
combined_deployable,0.5,0.9092131809011432,1.406186953597848,0.14425016812373914,0.04774714189643578
oracle_delta,0.1,0.9092131809011432,1.3937457969065232,0.15669132481506387,0.11447811447811448
oracle_delta,0.25,0.9098856758574311,1.32817753866846,0.2222595830531271,0.06998654104979811
oracle_delta,0.5,0.9115669132481506,1.32817753866846,0.2222595830531271,0.03765971755211836
